country,year,life_expectancy,population,annual_co2_emissions_scaled,animal_protein_per_day_person_scaled,fat_per_day_person_scaled,carbs_per_day_person_scaled,fertility_rate_scaled,rural_population_by_pop_scaled,fixed_line_subscription_per_hundred_scaled,mobile_line_subscription_per_hundred_scaled
Coted'Ivoire,2020.0,59.0,26811792.0,0.0298257590630204,0.4561822722467565,0.461682540739832,0.4134117954087787,0.0273343110552412,0.0870558244636767,0.5457289191965043,0.6699789316989592
Croatia,2020.0,78.0,4096872.0,0.0089481605369208,0.5087837839196879,0.6492710890334235,0.5405821819348832,0.2443746071653048,0.4371906108882893,0.1892230750566882,0.6353366549668747
Cuba,2020.0,77.6,11300695.0,1.2844852135343408e-06,0.2987279840700766,0.4453521613632764,0.404244134242768,0.3757804315943851,0.5881074405715062,0.0488930671125513,0.0028879726326266
Cyprus,2020.0,81.4,1237540.0,5.207105442558442e-05,0.0653539451536031,0.1075532086536344,0.5838096375688145,0.3554996857322439,0.8214714324332026,0.0192693875539638,0.0285552308408188
Czechia,2020.0,78.6,10530951.0,0.0003424563999896,0.5048205881089165,0.4317853683300859,0.6645312032570615,0.0205181926112158,0.3383865817481443,0.2912508453118301,0.2114916091444722
Denmark,2020.0,81.5,5825638.0,4.601567421450946e-05,0.0767273443976423,0.0706858673057851,0.4282822580039245,0.5278860255604442,0.7156003196440605,0.0096447541475204,0.134458890424501
Djibouti,2020.0,62.7,1090162.0,0.0014634740427845,0.3214781558619966,0.467227921013272,0.4622847055226492,0.3190446260213702,0.5229685568619181,0.0990453818883833,0.0022343874020723
Dominica,2020.0,73.6,72011.0,4.6933113571447066e-05,0.4805331639521219,0.2346694495505659,0.3840434107205368,0.0969481109015992,0.6269680137400853,0.0418961992084222,0.7915414833519031
DominicanRepublic,2020.0,72.9,10999668.0,6.778340006730928e-05,0.5537269992325662,0.569671981825979,0.6749014943480288,0.1038061317131084,0.0839209584216204,0.5339740080726296,0.0259395284723904
Ecuador,2020.0,72.2,17588596.0,1.69947274406082e-05,0.1929404485930438,0.2784310884626619,0.5767127839383156,0.2652978559955303,0.6008852155899274,0.023567805868963,0.0
ElSalvador,2020.0,71.1,6292734.0,0.0118345847751611,0.3680351771808092,0.4693344526438689,0.7104694215793504,0.2019694112717368,0.250026244735084,0.1902353485555693,0.1671489038979836
Estonia,2020.0,78.3,1329449.0,0.0002381626295487,0.0869748501708446,0.1598497631328626,0.3674503929722694,0.236385222431734,0.7582348520582431,0.007019898986221,0.0002226251484464
Eswatini,2020.0,59.7,1180663.0,6.344704896317838e-05,0.0534524202969181,0.1148445241891022,0.4012014952527,0.4895732942244569,0.9234189507797634,0.0054093462472531,0.0
Ethiopia,2020.0,65.4,117190920.0,5.768134670314024e-05,0.4056406811661072,0.4817110789974942,0.4512261897076947,0.413408757594804,0.4321562391429144,0.0816559323953603,0.0
Fiji,2020.0,67.9,920430.0,2.42417729520292e-05,0.0807769859660551,0.1050709076655435,0.3381021257164727,0.9516446679237376,0.8878669708963063,0.0012257955362458,0.0
Finland,2020.0,81.9,5529468.0,0.0034329932992759,0.0430525802903929,0.2575991147245032,0.5646912073786817,0.5990781479153572,0.5087711358038064,0.0005766650673649,0.4102681782439901
France,2020.0,82.2,64480052.0,0.0012071712416834,0.6191698449978275,0.7492030300772629,0.4839475615816534,0.0858160486067462,0.1927843906093289,0.1686455636162033,0.4943957487814084
FrenchPolynesia,2020.0,82.2,301935.0,0.0041704483185626,0.1847800582509959,0.3165025607832733,0.2938232889027367,0.4390530064948669,0.6749657098847353,0.0315212908294585,0.2477548428037965
Gabon,2020.0,66.5,2292583.0,4.018153007775084e-05,0.3091953071168867,0.335635378355767,0.4787718000824016,0.5511977093372442,0.5807480197889775,0.0231775947856492,0.0
Georgia,2020.0,72.8,3765912.0,0.0015417879456003,0.2969333476527496,0.2193293070075614,0.5712404743114033,0.207067532648928,0.2455159022625907,0.1182799022440523,0.450088496263004
Germany,2020.0,81.1,83328992.0,0.0101614767157391,0.5019750657642185,0.5668676791525882,0.6480365646601419,0.1340736084922131,0.4039226180755958,0.0946534912975989,0.0
Ghana,2020.0,64.1,32180402.0,0.0013602684388564,0.6668713178053065,0.7000871005429226,0.50687585320837,0.0371673999580976,0.373832467938905,0.5069568966679265,0.5060540752156331
Greece,2020.0,80.9,10512232.0,1.2844852135343408e-06,0.1276418406472154,0.3701629548021617,0.1068564717795509,0.6771143236259515,0.610509931814224,0.0214020548145443,0.0
Grenada,2020.0,74.9,123672.0,1.0078268598500211e-05,0.0388646986949378,0.2430931586814982,0.2099526090331871,0.765542286472519,0.697704349105782,0.0033829622334893,0.0
Guatemala,2020.0,71.8,17362716.0,0.0053325859919056,0.4682091667161858,0.5577551420414022,0.4859619421725017,0.2339967874851595,0.3100767512638381,0.1549478795124071,0.0
Guinea,2018.0,59.3,12554871.0,0.0002953690629773,0.1158465700148393,0.1831496878119596,0.51416093976623,0.1656260912074865,0.8471826536185912,0.0532236884602921,0.0326173927667939
Guinea-Bissau,2018.0,60.5,1924954.0,7.03197675672877e-05,0.2669014923959055,0.3610300755990444,0.5090602506368348,0.1788672393323556,0.3526065456996151,0.1860694360975767,0.669405976572642
Guyana,2020.0,68.5,797207.0,0.0011720836964869,0.5431607307864375,0.8130765558183859,0.4724468915883525,0.0414414414414414,0.2773823802978559,0.8100907409316838,0.3562149228783421
Haiti,2020.0,64.1,11306804.0,8.200108083152835e-05,0.0638485041102289,0.1146299549804688,0.3683351306644103,0.6389971366715552,0.8054632185524984,0.0054931078310668,0.0035159020803422
Honduras,2020.0,71.5,10121762.0,2.2055489157167145e-05,0.0457736126985638,0.08417245566235,0.3581649712260916,0.7936029052308122,0.7771605734137628,0.0026870224524275,0.0
Hungary,2020.0,75.7,9750571.0,0.0011891227574363,0.2954941925145326,0.3620042329218748,0.5051807141903185,0.0869334450729799,0.4749677620538988,0.247284312657979,0.585947380849508
Iceland,2020.0,82.6,366682.0,0.0012609528576236,0.3453834661181157,0.3674995937657238,0.5264910245124476,0.2214540121516865,0.5460200031876564,0.0997634483575961,0.0343212004512428
India,2020.0,70.1,1396387072.0,0.0084424290016654,0.3673297398616401,0.4419643029641463,0.7167509058594627,0.0180878552971576,0.3368912891317681,0.2722113834509519,0.2892129268436615
Indonesia,2020.0,68.8,271857984.0,0.0160141573289438,0.502748041860733,0.7674060520318333,0.4316379438696035,0.0981213771911446,0.2276518142505586,0.5044288059689214,0.011840689736756
Iraq,2020.0,69.1,42556988.0,0.0001607873620375,0.5268291904262953,0.5531650557223582,0.3840376453587995,0.269250645994832,0.1730482535074653,0.0712405998173443,0.0
Ireland,2020.0,82.5,4946123.0,0.0031406707088183,0.3954748229166336,0.4355330515898737,0.6981753396771736,0.2238983169215727,0.5238959609651521,0.1166706696620275,0.3234220983008446
Israel,2020.0,82.4,8757487.0,0.0002536337027432,0.0888352199694236,0.234344001796595,0.3897780443064982,0.7571757804315943,0.8031608799027482,0.0141439126869686,0.0
Italy,1987.0,76.3,56644528.0,0.0002860616149478,0.2017582357547238,0.2778582438384263,0.1210934805872144,0.3428870731196313,0.7057985492595988,0.0176002358645393,0.3804018530127905
