country,year,life_expectancy,population,annual_co2_emissions_scaled,animal_protein_per_day_person_scaled,fat_per_day_person_scaled,carbs_per_day_person_scaled,fertility rate_scaled,rural population_by_pop_scaled,fixed_line_subscription_per_hundred_scaled,mobile_line_subscription_per_hundred_scaled
Cyprus,1995.0,75.1,862419.0,0.0005651593633233,0.2643906735234657,0.4741797666384787,0.4070892789265141,0.1389482505761575,0.1334660243665882,0.1776123352243693,0.2181484620718617
Cyprus,1996.0,75.5,880064.0,0.0005392452948232,0.2510310671614641,0.5328635322487021,0.583523945494638,0.1446330050981214,0.131934891082683,0.1835275267493163,0.2590110975262707
Cyprus,1997.0,75.8,897476.0,0.0005464597913412,0.2523772868095054,0.5378486756230256,0.6228507659114401,0.1496612891961729,0.1303722293003588,0.1854224760428605,0.3095927509066743
Cyprus,1998.0,76.2,914667.0,0.0006022246576288,0.2480717927461312,0.5352608644988144,0.6721146779516468,0.150708848383267,0.1287891581445777,0.1831854632098759,0.3276729011835861
Cyprus,1999.0,76.3,931612.0,0.0005976767515511,0.239152239405196,0.516329307623482,0.6209000496342446,0.1510580347789649,0.1271848397337042,0.1676181147677443,0.309104003917061
Cyprus,2000.0,76.6,948238.0,0.000646989528231,0.2097794385396993,0.467984474529684,0.5680641893295727,0.1525106501850688,0.1255494478185815,0.1684017623799779,0.3159570307151844
Cyprus,2001.0,77.0,964838.0,0.0006939799194014,0.1999657173456997,0.45690626384483,0.6014131269620054,0.1519659194077798,0.1238933571889705,0.1731804657385902,0.3288972538730727
Cyprus,2002.0,77.5,982202.0,0.0007134677325405,0.2122076962852865,0.4820245040865121,0.6562802346072892,0.15263635728752,0.1222264960720085,0.3175134781612387,0.3087922223420146
Cyprus,2003.0,77.8,1000355.0,0.0007509268507891,0.213688448234165,0.49965050241566,0.692382745805661,0.1512815140722117,0.1205288655597355,0.1625934875933694,0.3253686320081833
Cyprus,2004.0,77.9,1018688.0,0.0007066085512974,0.2523126802862177,0.5560828343510549,0.6654569731513543,0.1477337802919198,0.1188204528120239,0.164283028081596,0.335935908191261
Cyprus,2005.0,78.1,1037070.0,0.000711932671315,0.2632629770798859,0.5530714460957715,0.7252713131700029,0.1452615406103778,0.1171017342512009,0.1669344472163923,0.3311977681138543
Cyprus,2006.0,78.4,1055445.0,0.000660017754977,0.2451191340775567,0.5273767222842047,0.7850754718051577,0.1414204902576995,0.1153623148581427,0.1691483414382319,0.3421667228927835
Cyprus,2007.0,78.8,1073875.0,3.97202350646773e-05,0.0608767906369803,0.1061492699902775,0.4042423555673384,0.5124799217822473,0.8961556841697623,0.0075152743668192,0.0
Cyprus,2008.0,79.0,1092402.0,4.120233338798616e-05,0.0610297185911661,0.1112604327527003,0.4309989700549258,0.4965709895942454,0.8903229561807136,0.0073408981119808,0.0
Cyprus,2009.0,79.4,1110979.0,4.278323826618227e-05,0.064554966506643,0.1073057796372067,0.4370253677449783,0.4793630840142467,0.8842911071554415,0.0066994679240156,0.0
Cyprus,2010.0,79.7,1129693.0,4.406772347971661e-05,0.0658114834140236,0.1066584394948899,0.4407167325977693,0.4575040156435506,0.8780723088721614,0.0084843355380734,0.0
Cyprus,2011.0,80.0,1145090.0,4.515459558347644e-05,0.0600951704493717,0.1060337881144019,0.4622187105308472,0.436734408827432,0.8716567927011122,0.0089973455064072,0.0
Cyprus,2012.0,80.1,1156556.0,4.604385457746175e-05,0.0521254275114336,0.0987643834036185,0.4224724293808354,0.4264403938822543,0.8650322103365657,0.0100649771925546,0.0
Cyprus,2013.0,80.4,1166972.0,4.6834307016559805e-05,0.049208101292579,0.1005567248665189,0.4554230663843072,0.4163419233186675,0.8586166911877402,0.0089399391392988,0.0002916702626981
Cyprus,2014.0,80.8,1176997.0,4.772356601054512e-05,0.0549023496512843,0.1068522679991712,0.472288160139669,0.4054193728612333,0.8536352278269366,0.0113150896673878,0.0008017426601872
Cyprus,2015.0,81.0,1187286.0,4.861282500453043e-05,0.0507209602117139,0.1055361847992283,0.4937587352513691,0.3861163489070466,0.8485403332074928,0.0115712762646241,0.0022371688100219
Cyprus,2016.0,81.1,1197889.0,4.920566433385397e-05,0.0590986184626846,0.109896021011339,0.5095097035178059,0.3694950764718205,0.843335658019729,0.0118505333320262,0.0027189707520867
Cyprus,2017.0,81.3,1208527.0,4.989731021806477e-05,0.0623435138100405,0.1123290355023548,0.5178812540949785,0.358656330749354,0.8380242263378652,0.0121529812220421,0.0048834045355091
Cyprus,2018.0,81.4,1218834.0,5.0588956102275575e-05,0.0657808595342491,0.1159207455793821,0.5361670801831483,0.3584887212794189,0.8326168689464896,0.0117002470419994,0.012881328973934
Cyprus,2019.0,81.4,1228840.0,5.137940854137363e-05,0.0673224424263972,0.1161757096564115,0.5617987131283267,0.3613380822683147,0.8270968975897517,0.0156667759758657,0.0312060145105856
Cyprus,2020.0,81.4,1237540.0,5.207105442558442e-05,0.0653539451536031,0.1075532086536344,0.5838096375688145,0.3554996857322439,0.8214714324332026,0.0192693875539638,0.0285552308408188
Czechia,1993.0,72.9,10318915.0,2.5959561583666285e-05,0.0551765759894402,0.2750604989822827,0.3150768656120246,0.5294643480689991,0.5355820216727054,0.0034689410376289,0.2482548139301115
Czechia,1994.0,73.1,10321309.0,2.357617704926521e-05,0.0580807531086939,0.2467415424438525,0.3255622186031971,0.5110692087436273,0.5313950032615115,0.0027184090579265,0.2603354914341853
Czechia,1995.0,73.2,10311702.0,3.2032901719838115e-05,0.0806025241196737,0.2580956186409031,0.3361522067765387,0.493274670018856,0.5271026853978966,0.0024306104678795,0.3224669622235502
Czechia,1996.0,73.8,10295653.0,3.244983625725948e-05,0.0860197617105436,0.2580289474988905,0.3257985371007929,0.479502758572526,0.5226978720464787,0.0021349341536439,0.3577765193048373
Czechia,1997.0,73.9,10279042.0,3.6507781555534464e-05,0.0844318952479428,0.2447830117475979,0.3590977944884674,0.4708708708708709,0.5181761786439213,0.0018599071465546,0.2992798568588196
Czechia,1998.0,74.6,10263837.0,2.983537274664964e-05,0.0754400606328101,0.1812181984680005,0.4043559454602914,0.4422794887911166,0.5040002534717344,0.0013168101603374,0.1755660891538058
Czechia,1999.0,74.7,10249145.0,3.040197332654488e-05,0.0800582274894024,0.184023838421771,0.3914136283644757,0.4306725329981143,0.4990622077788763,0.0012903332782483,0.1468123587324461
Czechia,2000.0,75.0,10234712.0,0.0016356149629367,0.2562674064871284,0.4466646249052682,0.5860875074577868,0.2112577693973042,0.2286204139167582,0.2070088801725512,0.7586651555351757
Czechia,2001.0,75.3,10230273.0,0.0013271048169274,0.2605639583873018,0.4820843602419737,0.6194520238336375,0.2173475801382778,0.2262766449763738,0.1768083152250311,0.7301999495907934
Czechia,2002.0,75.4,10238170.0,0.0014906942778492,0.3193375134658617,0.515631285840617,0.71680169010966,0.2221104825755988,0.2238285504028235,0.1517253551885209,0.7379986912403566
Czechia,2003.0,75.4,10248039.0,0.0011719357023894,0.3032705060420318,0.4484237272356512,0.7506540542223071,0.2271108317619945,0.2212869367813647,0.1442311395459938,0.7727192296663511
Czechia,2004.0,75.9,10261003.0,0.0016342484445518,0.281757285025871,0.3772822755072418,0.8052219763936038,0.2324603673440883,0.2186518459358334,0.1640858251250046,0.6296517923961262
Czechia,2005.0,76.2,10280122.0,0.0014710606818946,0.2858654698947184,0.4586253763484705,0.7173323487240381,0.2263984915147705,0.2159329341060026,0.1878695148387128,0.7112601226214341
Czechia,2006.0,76.7,10304822.0,0.0013928218548018,0.2852476851617202,0.4462859881100369,0.7256580830754892,0.2211187932118164,0.2131204989055872,0.2393681850973384,0.5509630932853183
Czechia,2007.0,76.9,10337831.0,0.0014410282353753,0.2761630289538835,0.4639815700235631,0.7053067241444609,0.2145401215168656,0.2102351273287564,0.2703436556929159,0.4264769567660171
Czechia,2008.0,77.2,10378586.0,0.0018672793895567,0.2814442366133314,0.5178548359336799,0.6736186400278331,0.2023046302116069,0.2042355928048541,0.2624903739923874,0.2557441236628749
